;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
0;masculino;COMERCIO;charcuteria;manrique central no. 2;1;3.0;28/12/2017;7000000;microempresarial
1;masculino;comercio;distribuidora de ;santa lucia;2;12.0;16/03/2018;$ 7,000,000.00;microempresarial
2;masculino;comercio;tienda;belen;3;16.0;2018/02/14;7800000;microempresarial
3;masculino;servicio;organización y ;robledo;2;7.0;8/09/2016;1500000;microempresarial
4;masculino;servicio;COMIDAS RAPIDAS;20 de julio;2;13.0;20/12/2016;3000000;microempresarial
5;femenino;Comercio;comidas rapidas;calasanz;1;12.0;13/06/2017;7300000;microempresarial
6;femenino;servicio;organización y ;altavista;2;70.0;2016/04/26;4000000;microempresarial
7;femenino;comercio;tienda;manrique central no. 1;2;4.0;12/06/2017;5000000;microempresarial
8;femenino;servicio;PELUQUERIA;buenos aires;3;9.0;21/07/2017;7370000;microempresarial
9;femenino;comercio;granero;robledo;2;13.0;2016/09/20;6800000;microempresarial
10;femenino;servicio;cafeteria;aranjuez;1;4.0;8/03/2018;1200000;MICROEMPRESARIAL
11;femenino;comercio;comidas rapidas;san javier no.1;1;13.0;27/07/2018;1300000;microempresarial
12;masculino;industria;fabrica de ;lopez de mesa;3;7.0;15/05/2017;7000000;microempresarial
13;FEMENINO;servicio;peluqueria;kennedy;3;6.0;3/07/2018;7000000;microempresarial
14;masculino;comercio;variedades;popular;1;1.0;19/07/2018;7800000;microempresarial
15;femenino;comercio;restaurante;robledo;1;7.0;7/06/2018;7800000;microempresarial
16;femenino;servicio;comidas rapidas;villa guadalupe;2;1.0;20/05/2016;6890000;microempresarial
17;femenino;servicio;peluqueria;robledo;3;7.0;4/07/2017;7377000;microempresarial
18;masculino;servicio;recreativo-educativo;belen;3;16.0;29/09/2016;3000000;microempresarial
19;femenino;comercio;comidas rapidas;manrique central no. 2;3;3.0;18/01/2019;5000000;microempresarial
20;Masculino;comercio;Variedades;la floresta;3;12.0;16/08/2016;6000000;microempresarial
21;masculino;comercio;variedades;popular;1;1.0;29/11/2017;7000000;microempresarial
22;femenino;industria;FABRICA DE ;manrique central no. 2;2;3.0;29/01/2018;7800000;microempresarial
23;femenino;comercio;almacen de ropa en ;cordoba;3;7.0;18/08/2016;6890000;Microempresarial
24;masculino;servicio;cafe e internet;buenos aires;03;9.0;22/08/2018;2500000;microempresarial
25;femenino;comercio;restaurante;belen;3;16.0;3/05/2017;20000000;juridica y cap.semilla
26;femenino;comercio;comidas rapidas;santa cruz;02;2.0;22/03/2018;1500000;microempresarial
27;masculino;industria;fabrica de ;manrique central no. 1;1;4.0;26/04/2018;7800000;microempresarial
28;femenino;comercio;miscelanea;campo valdes no. 1;3;4.0;14/06/2016;4000000;microempresarial
29;femenino;servicio;comidas rapidas;andalucia;2;2.0;22/08/2018;4500000;microempresarial
30;masculino;comercio;cerrajeria;andalucia;02;2.0;6/06/2017;7377000;microempresarial
31;femenino;industria;fabrica de ;maria cano ;01;3.0;2018/03/1;3000000;microempresarial
32;femenino;comercio;comidas rapidas;enciso;01;8.0;22/02/2017;5000000;microempresarial
33;masculino;comercio;almacen de ropa en ;doce de octubre no.1;2;6.0;27/09/2017;7377000;microempresarial
34;MASCULINO;comercio;fabrica de ;manrique central no. 2;2;3.0;23/06/2016;6890000;microempresarial
35;femenino;industria;fabrica de ;doce de octubre no.1;1;6.0;10/05/2017;5000000;microempresarial
36;femenino;comercio;charcuteria;juan xxiii la quiebra;2;13.0;12/06/2018;7800000;microempresarial
37;masculino;comercio;restaurante;cabecera san antonio ;2;80.0;5/09/2016;6800000;microempresarial
38;femenino;comercio;comidas rapidas;la avanzada;1;1.0;2019/02/13;8280000;microempresarial
39;femenino;servicio;peluqueria;castilla;3;5.0;10/06/2019;8000000;microempresarial
40;femenino;industria;fabrica de ;belen;03;16.0;25/08/2017;7000000;microempresarial
41;masculino;SERVICIO;fabrica de ;robledo;02;7.0;26/07/2016;6890000;microempresarial
42;MASCULINO;comercio;almacen de ropa en ;popular;1;1.0;18/09/2017;7000000;microempresarial
43;femenino;comercio;fabrica de helados;santa lucia;3;12.0;29/06/2017;4000000;microempresarial
44;masculino;servicio;recreativo-educativo;santa rosa de lima;2;13.0;2017/12/12;6000000;MICROEMPRESARIAL
45;masculino;industria;fabrica de ;cabecera san antonio ;2;9.0;30/10/2018;7800000;microempresarial
46;femenino;COMERCIO;variedades;barrio caicedo;2;9.0;14/06/2017;6500000;microempresarial
47;masculino;comercio;fabrica-de-;prado;3;10.0;13/07/2018;5000000;microempresarial
48;femenino;comercio;variedades;robledo;3;7.0;2016/03/31;6800000;microempresarial
49;masculino;Comercio;fabrica de alimentos;castilla;3;5.0;2017/06/8;4000000;microempresarial
50;femenino;comercio;almacen de ropa en ;belen;3;16.0;25/07/2018;$ 5,000,000.00;microempresarial
51;femenino;COMERCIO;tienda;el socorro;2;13.0;5/09/2017;7377000;microempresarial
52;masculino;COMERCIO;comidas rapidas;manrique oriental;03;3.0;27/07/2018;7800000;microempresarial
53;MASCULINO;comercio;cerrajeria;popular;1;1.0;11/10/2018;7800000;microempresarial
54;femenino;servicio;peluqueria;buenos aires;3;9.0;24/05/2019;8000000;microempresarial
55;femenino;industria;Fabrica De ;manrique central no. 1;2;4.0;23/10/2017;7300000;microempresarial
56;femenino;servicio;fabrica de ;santander;2;6.0;6/02/2017;3600000;microempresarial
57;masculino;servicio;mantenimiento en ;moravia;2;4.0;11/12/2018;6600000;microempresarial
58;femenino;servicio;tienda;juan xxiii la quiebra;2;13.0;2017/12/21;6500000;microempresarial
59;femenino;comercio;granero;florencia;3;5.0;24/07/2018;7800000;microempresarial
60;femenino;comercio;variedades;cabecera san antonio ;3;80.0;16/03/2017;7000000;microempresarial
61;femenino;industria;fabrica de ;robledo;2;7.0;17/08/2018;5000000;microempresarial
62;femenino;COMERCIO;tienda de helados;robledo;3;7.0;18/07/2018;7800000;microempresarial
63;masculino;comercio;ferreteria;belen;2;16.0;5/05/2016;6000000;microempresarial
64;femenino;industria;fabrica de alimentos;moravia;1;4.0;2016/04/18;6000000;microempresarial
65;femenino;INDUSTRIA;tienda;la america;3;12.0;9/05/2018;2000000;microempresarial
66;femenino;comercio;variedades;robledo;2;7.0;11/03/2016;6800000;microempresarial
67;masculino;comercio;Drogueria;la pradera;2;13.0;9/06/2017;7000000;microempresarial
68;femenino;comercio;papeleria;la candelaria;2;10.0;6/08/2018;5000000;microempresarial
69;femenino;comercio;tienda;las brisas;3;5.0;21/03/2018;5500000;microempresarial
70;femenino;comercio;almacen de ropa en ;ROBLEDO;3;7.0;20/10/2017;7370000;microempresarial
71;masculino;industria;fabrica de ;la colina;2;15.0;8/06/2017;7300000;microempresarial
72;masculino;comercio;almacen_de_ropa_en_;robledo;2;7.0;27/09/2018;7000000;microempresarial
73;femenino;industria;FABRICA DE ;la milagrosa;2;9.0;31/01/2019;5000000;microempresarial
74;femenino;comercio;comidas rapidas;manrique oriental;1;4.0;21/09/2017;3000000;microempresarial
75;femenino;industria;fabrica de ;san pablo;2;1.0;21/12/2018;7800000;microempresarial
76;femenino;comercio;distribuidora de ;GUAYABAL;3;15.0;24/05/2018;7800000;microempresarial
77;femenino;comercio;productos de belleza;castilla;3;5.0;23/07/2018;7800000;microempresarial
78;femenino;comercio;variedades;buenos aires;2;9.0;12/09/2016;6890000;microempresarial
79;femenino;;variedades;pedregal;3;6.0;8/03/2018;7000000;microempresarial
80;masculino;servicio;mantenimiento en ;buenos aires;3;9.0;25/07/2017;5000000;microempresarial
81;masculino;comercio;variedades;belen;2;16.0;2017/06/20;7300000;MICROEMPRESARIAL
82;masculino;comercio;Licorera;barrio caicedo;2;9.0;24/10/2018;7800000;microempresarial
83;femenino;comercio;variedades;robledo;2;7.0;26/07/2017;7300000;microempresarial
84;femenino;comercio;cafeteria;castilla;2;5.0;24/10/2017;6000000;Microempresarial
85;femenino;comercio;tienda;cabecera san antonio ;2;80.0;12/07/2016;5000000;microempresarial
86;masculino;comercio;tienda;villa hermosa;3;8.0;27/06/2018;5000000;microempresarial
87;masculino;comercio;variedades;la ladera;3;8.0;26/04/2018;7800000;microempresarial
88;femenino;comercio;Tienda;Sevilla;2;4.0;30/11/2017;6000000;microempresarial
89;FEMENINO;industria;fabrica de ;san german;3;7.0;26/09/2016;4000000;microempresarial
90;masculino;comercio;TIENDA;robledo;2;7.0;26/12/2017;73000000;microempresarial
91;femenino;industria;fabrica de ;la milagrosa;2;9.0;15/11/2016;6890000;MICROEMPRESARIAL
92;masculino;agropecuaria;CRIADERO_DE_ANIMALES_;cabecera san antonio ;2;80.0;12/06/2018;7800000;microempresarial
93;FEMENINO;comercio;variedades;robledo;3;7.0;3/10/2018;7839700;juridica y cap.semilla
94;femenino;comercio;tienda de helados;belen;2;16.0;6/06/2018;4400000;microempresarial
95;femenino;comercio;papeleria;robledo;1;7.0;2018/05/2;1200000;microempresarial
96;femenino;comercio;peluqueria;robledo;1;7.0;19/05/2017;6000000;microempresarial
97;femenino;industria;fabrica de ;santa cruz;2;2.0;9/07/2018;4500000;microempresarial
98;femenino;comercio;variedades;sevilla;3;4.0;2018/07/4;7800000;microempresarial
99;masculino;SERVICIO;peluqueria;el salvador;3;9.0;21/02/2017;7377000;microempresarial
100;masculino;;cerrajeria;aranjuez;03;4.0;19/10/2016;600000;microempresarial
101;masculino;industria;fabrica de ;villa hermosa;03;8.0;22/03/2017;5000000;microempresarial
102;femenino;servicio;peluqueria;el salvador;3;9.0;6/10/2017;5000000;microempresarial
103;masculino;servicio;mantenimiento en ;miranda;2;4.0;26/09/2017;7000000;microempresarial
104;masculino;comercio;servicios ;pedregal;3;6.0;6/07/2018;2000000;microempresarial
105;femenino;comercio;almacen de ropa en ;enciso;3;8.0;9/08/2017;7000000;microempresarial
106;femenino;industria;fabrica de calzado;barrio caicedo;1;9.0;21/01/2019;8000000;microempresarial
107;masculino;comercio;restaurante;robledo;3;7.0;27/06/2017;7000000;microempresarial
108;masculino;comercio;variedades;la francia;2;2.0;19/04/2017;7370000;MICROEMPRESARIAL
109;masculino;comercio;fabrica de productos ;doce de octubre no.1;02;6.0;2018/07/11;2000000;microempresarial
110;masculino;comercio;almacen de ropa en ;enciso;2;8.0;29/09/2016;6890000;microempresarial
111;masculino;comercio;fabrica-de-productos-;pedregal;1;6.0;13/11/2018;2000000;microempresarial
112;femenino;comercio;comidas rapidas;cabecera san antonio ;2;80.0;13/06/2017;4000000;microempresarial
113;masculino;COMERCIO;fabrica de ;palermo;2;4.0;23/08/2017;7370000;microempresarial
114;femenino;comercio;comidas rapidas;moravia;2;4.0;12/06/2018;2000000;microempresarial
115;masculino;comercio;comidas rapidas;boston;3;10.0;1/06/2017;6800000;microempresarial
116;masculino;servicio;mantenimiento en ;san javier no.1;3;13.0;9/02/2018;4500000;microempresarial
117;masculino;comercio;ferreteria;popular;2;1.0;23/11/2017;7300000;microempresarial
118;FEMENINO;industria;fabrica de ;kennedy;2;6.0;22/05/2019;4000000;microempresarial
119;femenino;comercio;restaurante;CASTILLA;3;5.0;7/03/2019;8200000;microempresarial
120;FEMENINO;comercio;PAPELERIA;;2;1.0;26/07/2018;7800000;microempresarial
121;femenino;comercio;almacen de ropa en ;la loma;2;60.0;6/06/2018;5000000;microempresarial
122;femenino;servicio;mantenimiento en ;manrique central no. 1;2;4.0;13/06/2017;7377000;microempresarial
123;femenino;industria;fabrica de ;manrique central no. 1;02;4.0;16/03/2018;1500000;microempresarial
124;femenino;servicio;taller de mecanica;campo valdes no. 1;3;4.0;29/12/2016;6890000;microempresarial
125;femenino;comercio;distribuidora-de-;santa cruz;2;2.0;8/08/2017;5000000;microempresarial
126;femenino;comercio;charcuteria;robledo;2;7.0;2/11/2016;6000000;microempresarial
127;masculino;comercio;comidas rapidas;buenos aires;3;9.0;17/09/2018;7800000;microempresarial
128;femenino;comercio;variedades;BARRIO DE JESUS;3;9.0;17/06/2016;6890000;microempresarial
129;femenino;agropecuaria;criadero de animales ;santa elena central;3;90.0;20/11/2017;14754000;microempresarial
130;femenino;industria;variedades;aranjuez;3;4.0;4/05/2018;7800000;microempresarial
131;masculino;COMERCIO;variedades;campo valdes no. 1;3;4.0;13/03/2018;5000000;microempresarial
132;femenino;servicio;variedades;manrique central no. 1;2;4.0;2018/05/16;7800000;microempresarial
133;masculino;AGROPECUARIA;criadero de animales ;palmitas;2;50.0;11/12/2018;17000000;microempresarial
134;femenino;comercio;tienda;santa cruz;1;2.0;10/11/2017;7370000;microempresarial
135;Masculino;industria;fabrica de ;manrique oriental;2;3.0;29/08/2016;6800000;microempresarial
136;femenino;servicio;papeleria;santa lucia;3;12.0;15/11/2016;6890000;microempresarial
137;femenino;comercio;variedades;san javier no.1;3;13.0;27/07/2018;4000000;microempresarial
138;femenino;comercio;tienda;picachito;1;6.0;29/03/2017;5000000;microempresarial
139;FEMENINO;;variedades;moravia;2;4.0;2018/04/11;7000000;microempresarial
140;femenino;INDUSTRIA;fabrica de ;el salvador;3;9.0;8/06/2016;6890000;microempresarial
141;femenino;servicio;taller de mecanica;calasanz;2;12.0;20/06/2017;7000000;microempresarial
142;FEMENINO;comercio;tienda;blanquizal;1;13.0;19/09/2016;6890000;microempresarial
143;femenino;comercio;Variedades;robledo;2;7.0;19/04/2018;6000000;microempresarial
144;masculino;industria;publicidad y ;manrique oriental;1;3.0;27/11/2017;3600000;microempresarial
145;masculino;comercio;comidas rapidas;aranjuez;3;4.0;27/07/2018;7800000;microempresarial
146;femenino;servicio;servicios ;la ladera;3;8.0;7/05/2018;3000000;microempresarial
147;masculino;comercio;variedades;robledo;2;7.0;8/02/2018;7000000;microempresarial
148;masculino;comercio;taller de mecanica;el salvador;3;9.0;29/08/2018;7800000;microempresarial
149;masculino;comercio;drogueria;bosques de san pablo;2;7.0;3/03/2017;7000000;microempresarial
150;masculino;comercio;tienda;campo valdes no. 1;2;4.0;19/02/2019;7800000;microempresarial
151;masculino;comercio;tienda;toscana;2;5.0;22/09/2017;7000000;microempresarial
152;femenino;comercio;restaurante;santa lucia;3;12.0;30/04/2018;7800000;microempresarial
153;femenino;servicio;distribuidora de ;san javier no.1;2;13.0;3/04/2017;7000000;microempresarial
154;femenino;comercio;distribuidora de ;belen;3;16.0;1/02/2017;3000000;microempresarial
155;femenino;comercio;comidas-rapidas;cabecera san cristobal;2;60.0;30/08/2018;$ 3,500,000.00;MICROEMPRESARIAL
156;femenino;comercio;almacen de ropa en ;aranjuez;3;4.0;4/09/2017;3000000;microempresarial
157;femenino;comercio;variedades;buenos aires;3;9.0;29/03/2016;6890000;microempresarial
158;masculino;servicio;cafe e internet;san javier no.1;1;13.0;22/01/2019;6000000;microempresarial
159;femenino;comercio;variedades;san javier no.2;3;13.0;2018/10/25;7000000;microempresarial
160;femenino;servicio;peluqueria;campo valdes no. 2;3;3.0;16/08/2018;7000000;microempresarial
161;femenino;comercio;almacen de ropa en ;villa hermosa;2;8.0;24/04/2019;6000000;microempresarial
162;femenino;comercio;variedades;santa cruz;2;2.0;25/01/2018;5000000;microempresarial
163;masculino;comercio;Variedades;altavista;2;70.0;27/10/2017;3000000;microempresarial
164;femenino;servicio;peluqueria;aranjuez;2;4.0;13/09/2017;7000000;microempresarial
165;femenino;comercio;tienda;santa cruz;2;2.0;10/05/2018;7800000;microempresarial
166;femenino;COMERCIO;tienda;la avanzada;1;1.0;1/08/2018;2000000;microempresarial
167;femenino;comercio;variedades;popular;2;1.0;17/02/2017;7377000;microempresarial
168;masculino;industria;fabrica de ;aranjuez;2;4.0;19/12/2016;6890000;microempresarial
169;masculino;comercio;almacen de ropa en ;20 de julio;1;13.0;2017/07/31;5000000;microempresarial
170;femenino;comercio;variedades;belencito;2;13.0;21/11/2018;7800000;microempresarial
171;femenino;servicio;productos de belleza;boyaca;3;5.0;2016/03/29;5000000;microempresarial
172;femenino;industria;fabrica de ;campo valdes no. 1;3;4.0;20/09/2018;7800000;microempresarial
173;masculino;comercio;almacen de ropa en ;guayabal;3;15.0;6/04/2017;5000000;microempresarial
174;femenino;COMERCIO;fabrica de ;enciso;2;8.0;6/03/2018;7000000;microempresarial
175;masculino;comercio;variedades;buenos aires;3;9.0;9/05/2018;2000000;microempresarial
176;femenino;comercio;variedades;san javier no.1;1;13.0;13/07/2017;4000000;microempresarial
177;femenino;servicio;mantenimiento_en_;aranjuez;3;4.0;14/04/2016;2000000;microempresarial
178;masculino;servicio;barberia;picacho;1;6.0;6/06/2017;3500000;microempresarial
179;femenino;COMERCIO;almacen de ropa en ;santa lucia;3;12.0;13/03/2017;7370000;microempresarial
180;femenino;servicio;fabrica de ;castilla;3;5.0;9/02/2017;7377000;microempresarial
181;femenino;servicio;cafeteria;calasanz;2;12.0;9/01/2019;5000000;microempresarial
182;femenino;COMERCIO;tienda;aranjuez;3;4.0;17/01/2017;7600000;microempresarial
183;femenino;industria;fabrica de ;pedregal;3;6.0;10/10/2016;4800000;microempresarial
184;femenino;agropecuaria;sembrados;cabecera san cristobal;2;60.0;27/05/2016;12000000;fomento agropecuario
185;masculino;industria;deposito de ;el diamante;2;7.0;2018/03/22;7800000;microempresarial
186;femenino;comercio;comidas rapidas;carpinelo;1;1.0;5/06/2018;3000000;microempresarial
187;femenino;industria;fabrica de ;popular;2;1.0;13/01/2017;7377000;microempresarial
188;femenino;industria;fabrica de calzado;andalucia;2;2.0;28/06/2017;7300000;microempresarial
189;femenino;industria;fabrica de ;villa hermosa;2;8.0;22/06/2018;$ 7,800,000.00;microempresarial
190;femenino;comercio;tienda;el salvador;2;9.0;23/10/2017;5000000;microempresarial
191;femenino;;FABRICA DE ;robledo;2;7.0;2018/03/9;600000;microempresarial
192;femenino;industria;fabrica de ;doce de octubre no.1;2;6.0;26/09/2016;6890000;microempresarial
193;femenino;comercio;productos de belleza;cabecera san cristobal;2;60.0;5/06/2018;1300000;microempresarial
194;femenino;comercio;comidas rapidas;buenos aires;2;9.0;2017/09/18;7377000;microempresarial
195;masculino;industria;fabrica de calzado;pedregal;3;6.0;13/02/2018;1000000;microempresarial
196;femenino;comercio;comidas rapidas;manrique central no. 1;3;4.0;21/10/2016;4000000;MICROEMPRESARIAL
197;femenino;servicio;tienda de helados;juan xxiii la quiebra;2;13.0;16/01/2018;4000000;microempresarial
198;FEMENINO;INDUSTRIA;fabrica de ;BELEN;2;16.0;5/03/2019;8281000;microempresarial
199;masculino;industria;Fabrica De ;manrique oriental;2;3.0;20/09/2018;7800000;microempresarial
200;Masculino;agropecuaria;sembrados;cabecera san cristobal;2;60.0;27/09/2018;1000000;microempresarial
201;femenino;comercio;comidas rapidas;el salvador;3;9.0;17/08/2018;5000000;microempresarial
202;masculino;comercio;variedades;san benito;1;10.0;11/10/2018;800000;MICROEMPRESARIAL
203;femenino;comercio;carniceria;doce de octubre no.1;2;6.0;27/09/2018;7800000;microempresarial
204;femenino;comercio;miscelanea;20 de julio;2;13.0;2017/11/23;7300000;microempresarial
205;MASCULINO;industria;fabrica de ;aranjuez;1;4.0;4/04/2018;7800000;microempresarial
206;masculino;comercio;productos de belleza;santa-lucia;3;12.0;8/11/2017;7200000;microempresarial
207;femenino;servicio;PELUQUERIA;robledo;2;7.0;29/11/2017;5000000;microempresarial
208;femenino;comercio;cafe e internet;manrique central no. 1;2;4.0;7/10/2016;6000000;microempresarial
209;Femenino;comercio;tienda;la libertad;2;8.0;31/10/2018;7000000;microempresarial
210;femenino;servicio;publicidad y ;manrique central no. 2;2;3.0;10/11/2016;6890000;microempresarial
211;femenino;comercio;charcuteria;aranjuez;3;4.0;1/09/2016;6000000;microempresarial
212;femenino;comercio;miscelanea;andalucia;2;2.0;1/08/2017;4000000;microempresarial
213;femenino;comercio;tienda;granizal;2;1.0;17/12/2018;7000000;microempresarial
214;masculino;industria;fabrica de alimentos;cabecera san antonio ;2;80.0;22/04/2016;6400000;microempresarial
215;femenino;comercio;variedades;girardot;3;5.0;18/06/2018;4000000;microempresarial
216;masculino;servicio;publicidad y ;toscana;3;5.0;8/06/2017;7377000;microempresarial
217;masculino;comercio;publicidad y ;cabecera san antonio ;03;80.0;24/04/2018;5000000;microempresarial
218;femenino;COMERCIO;fabrica de alimentos;robledo;1;7.0;29/11/2017;7000000;microempresarial
219;femenino;comercio;almacen de ropa en ;belalcazar;2;5.0;8/06/2018;3500000;microempresarial
220;femenino;industria;fabrica de calzado;santo domingo savio ;1;16.0;25/10/2018;5000000;microempresarial
221;femenino;INDUSTRIA;fabrica_de_;prado;2;10.0;24/02/2016;6890000;microempresarial
222;FEMENINO;comercio;miscelanea;villatina;1;8.0;23/03/2018;7800000;microempresarial
223;femenino;servicio;Productos De Belleza;la america;3;12.0;5/09/2016;6890000;microempresarial
224;masculino;comercio;variedades;altavista;1;70.0;25/01/2018;1200000;microempresarial
225;femenino;comercio;fabrica de ;doce de octubre no.1;2;6.0;21/06/2017;2000000;Microempresarial
226;femenino;INDUSTRIA;fabrica de ;boyaca;3;5.0;5/07/2017;7377000;microempresarial
227;masculino;comercio;legumbreria;santo domingo savio ;1;1.0;16/05/2018;780000;microempresarial
228;femenino;comercio;tienda;popular;2;1.0;6/07/2018;7800000;Microempresarial
229;femenino;comercio;restaurante;belen;2;7.0;6/10/2016;3000000;microempresarial
230;masculino;comercio;distribuidora de ;manrique oriental;2;3.0;21/09/2018;7800000;microempresarial
231;masculino;comercio;variedades;calasanz;2;12.0;31/07/2018;2000000;MICROEMPRESARIAL
232;femenino;servicio;peluqueria;el_poblado;3;5.0;20/04/2017;7377000;microempresarial
233;femenino;comercio;fabrica de helados;villa niza;2;2.0;14/10/2016;5000000;microempresarial
234;masculino;comercio;tienda;castilla;3;5.0;10/10/2016;$ 6,000,000.00;microempresarial
235;femenino;comercio;almacen de ropa en ;el salvador;3;9.0;18/10/2018;4000000;microempresarial
236;Masculino;industria;carpinteria;las granjas;2;3.0;27/08/2018;5000000;microempresarial
237;masculino;comercio;fabrica de muebles;santander;2;6.0;12/05/2017;$ 5,000,000.00;microempresarial
238;Masculino;servicio;venta de repuestos;aranjuez;2;4.0;8/11/2016;6890000;microempresarial
239;femenino;servicio;comidas rapidas;buenos aires;3;9.0;20/04/2016;5000000;microempresarial
240;femenino;servicio;variedades;;3;60.0;4/01/2017;6894000;microempresarial
241;femenino;comercio;tienda;belen;3;16.0;21/03/2018;5000000;microempresarial
242;femenino;industria;fabrica de ;campo valdes no. 1;3;4.0;13/12/2017;6000000;microempresarial
243;femenino;comercio;cafe e internet;Manrique Central No. 1;2;4.0;7/10/2016;6000000;microempresarial
244;femenino;comercio;fabrica de ;san martin de porres;03;6.0;8/08/2017;7000000;microempresarial
245;femenino;comercio;variedades;castilla;3;5.0;26/09/2017;7375000;microempresarial
246;femenino;comercio;restaurante;las palmas;3;10.0;2017/06/8;7300000;microempresarial
247;femenino;servicio;criadero de animales ;robledo;2;7.0;7/12/2016;5000000;microempresarial
248;femenino;comercio;papeleria;cabecera san cristobal;1;60.0;2017/11/15;400000;microempresarial
249;masculino;comercio;variedades;manrique oriental;3;3.0;18/06/2018;7000000;microempresarial
250;femenino;comercio;miscelanea;trinidad;2;15.0;15/03/2018;7800000;microempresarial
251;femenino;Comercio;restaurante;buenos aires;3;9.0;20/02/2017;7377000;microempresarial
252;MASCULINO;comercio;variedades;santo domingo savio ;1;1.0;27/12/2018;7800000;microempresarial
253;femenino;industria;fabrica de ;doce de octubre no.1;1;6.0;17/07/2018;5000000;microempresarial
254;masculino;comercio;cerrajeria;robledo;3;7.0;20/02/2019;7800000;microempresarial
255;femenino;comercio;comidas rapidas;cabecera san cristobal;2;60.0;11/10/2016;2500000;microempresarial
256;femenino;industria;Fabrica De ;moravia;2;60.0;16/12/2016;6890000;microempresarial
257;femenino;industria;variedades;la floresta;2;12.0;28/01/2016;6890000;microempresarial
258;masculino;servicio;tienda;picacho;1;6.0;20/09/2016;6000000;microempresarial
259;masculino;comercio;variedades;barrio caicedo;1;9.0;26/11/2018;7820000;microempresarial
260;femenino;comercio;comidas-rapidas;cabecera san cristobal;2;60.0;1/12/2016;1000000;microempresarial
261;femenino;comercio;variedades;manrique central no. 2;1;3.0;15/03/2019;8280000;microempresarial
262;femenino;industria;fabrica de repuestos ;JUAN PABLO II;2;9.0;30/05/2018;7800000;Microempresarial
263;femenino;comercio;comidas rapidas;santo domingo savio ;2;1.0;23/05/2018;$ 2,000,000.00;microempresarial
264;femenino;comercio;variedades;robledo;2;7.0;14/02/2017;7370000;MICROEMPRESARIAL
265;femenino;comercio;TIENDA;manrique central no. 2;2;3.0;27/06/2016;1500000;MICROEMPRESARIAL
266;masculino;comercio;variedades;versalles no. 1;1;3.0;28/11/2017;7300000;microempresarial
267;masculino;comercio;miscelanea;cabecera san antonio ;2;80.0;3/06/2016;6890000;microempresarial
268;masculino;comercio;Ferreteria;la candelaria;2;10.0;25/01/2019;8280000;microempresarial
269;femenino;comercio;variedades;san javier no.2;1;13.0;2017/04/5;3000000;microempresarial
270;femenino;industria;fabrica de ;manrique central no. 1;2;4.0;18/09/2017;7370000;microempresarial
271;femenino;comercio;variedades;tejelo;3;5.0;26/07/2016;6890000;microempresarial
272;femenino;comercio;comidas rapidas;belalcazar;2;5.0;2018/06/21;5000000;microempresarial
273;femenino;comercio;comidas rapidas;las palmas;3;10.0;6/11/2018;4000000;microempresarial
274;masculino;industria;panaderia;altavista;1;16.0;28/05/2018;7000000;microempresarial
275;femenino;comercio;Tienda;castilla;2;5.0;18/04/2018;7000000;microempresarial
276;femenino;Comercio;variedades;robledo;3;7.0;24/09/2018;7812420;microempresarial
277;femenino;comercio;Variedades;belen;3;8.0;10/09/2018;6000000;MICROEMPRESARIAL
278;masculino;industria;fabrica de alimentos;lopez de mesa;3;7.0;16/11/2018;7800000;microempresarial
279;masculino;comercio;comidas rapidas;aranjuez;1;4.0;24/10/2018;1500000;microempresarial
280;masculino;comercio;restaurante;San Javier No.1;3;13.0;19/04/2017;7370000;microempresarial
281;masculino;comercio;tienda;las palmas;3;10.0;2018/04/26;7000000;microempresarial
282;masculino;servicio;mantenimiento en ;el salvador;3;9.0;29/08/2018;5000000;microempresarial
283;femenino;comercio;licorera;manrique central no. 1;3;4.0;2/05/2018;7800000;MICROEMPRESARIAL
284;femenino;;peluqueria;robledo;3;7.0;9/11/2018;$ 3,000,000.00;microempresarial
285;masculino;comercio;variedades;buenos aires;3;9.0;22/09/2017;6000000;microempresarial
286;masculino;industria;cerrajeria;la floresta;1;12.0;31/08/2018;7000000;microempresarial
287;femenino;servicio;mantenimiento en ;centro admtivo;3;10.0;21/05/2018;6000000;microempresarial
288;masculino;comercio;tienda;robledo;2;7.0;2016/04/25;3000000;microempresarial
289;masculino;agropecuaria;sembrados;suburbano santa elena ;2;90.0;14/02/2019;17000000;agropecuaria
290;femenino;Comercio;tienda;cabecera san cristobal;2;60.0;2017/08/9;7000000;microempresarial
291;Masculino;comercio;almacen de ropa en ;buenos aires;1;9.0;8/09/2016;2000000;microempresarial
292;femenino;comercio;almacen de ropa en ;guayabal;3;15.0;2017/10/9;7000000;microempresarial
293;femenino;servicio;comidas-rapidas;kennedy;02;6.0;3/11/2016;4000000;microempresarial
294;femenino;industria;fabrica de ;florencia;3;5.0;4/12/2017;3000000;microempresarial
295;femenino;comercio;variedades;cabecera san cristobal;1;60.0;22/08/2018;782000;microempresarial
296;MASCULINO;comercio;almacen de ropa en ;cabecera san antonio ;02;80.0;20/11/2017;4000000;microempresarial
297;Femenino;comercio;variedades;santo domingo savio ;2;1.0;17/03/2017;7370000;microempresarial
298;masculino;industria;fabrica de ;castilla;1;5.0;19/04/2018;2500000;microempresarial
299;femenino;industria;fabrica de ;santa cruz;2;2.0;3/11/2016;6000000;microempresarial
