;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
5783;masculino;comercio;barberia;cabecera san cristobal;2;60.0;9/03/2017;7200000;microempresarial
5784;masculino;servicio;cafeteria;santa ines;2;3.0;2018/04/27;1500000;microempresarial
5785;MASCULINO;servicio;fabrica de ;san benito;3;10.0;28/03/2019;8280000;microempresarial
5786;masculino;servicio;cafe e internet;alfonso lopez;3;5.0;20/02/2016;6000000;microempresarial
5787;femenino;COMERCIO;miscelanea;pablo vi;2;2.0;19/09/2017;5000000;microempresarial
5788;femenino;Comercio;tienda;cabecera san antonio ;2;80.0;14/06/2017;2000000;microempresarial
5789;femenino;comercio;fabrica de calzado;el salvador;3;9.0;18/02/2019;$ 8,281,000.00;microempresarial
5790;masculino;comercio;variedades;popular;2;1.0;10/05/2019;$ 8,200,000.00;microempresarial
5791;femenino;comercio;bares;moravia;1;4.0;3/04/2018;6000000;microempresarial
5792;masculino;servicio;restaurante;campo valdes no. 1;2;4.0;9/02/2017;7300000;microempresarial
5793;masculino;servicio;comidas rapidas;robledo;2;7.0;29/03/2017;7377000;microempresarial
5794;masculino;servicio;taller de mecanica;robledo;2;7.0;11/09/2017;$ 7,300,000.00;microempresarial
5795;femenino;industria;fabrica de ;girardot;3;5.0;15/05/2017;6000000;microempresarial
5796;femenino;comercio;variedades;manrique central no. 1;1;4.0;3/05/2018;7800000;microempresarial
5797;femenino;comercio;variedades;moravia;2;4.0;18/05/2018;7800000;microempresarial
5798;femenino;servicio;variedades;manrique oriental;2;3.0;21/07/2017;7300000;microempresarial
5799;femenino;comercio;FABRICA DE CALZADO;cordoba;03;7.0;3/10/2018;1000000;microempresarial
5800;masculino;comercio;variedades;robledo;2;7.0;24/07/2017;7000000;microempresarial
5801;femenino;comercio;comidas rapidas;santo domingo savio ;1;1.0;5/06/2018;7000000;microempresarial
5802;masculino;industria;fabrica de ;belen;03;16.0;15/03/2018;4000000;microempresarial
5803;femenino;industria;fabrica de ;manrique oriental;2;3.0;29/03/2017;3500000;microempresarial
5804;masculino;servicio;variedades;aranjuez;2;4.0;17/01/2018;7300000;microempresarial
5805;masculino;comercio;variedades;buenos aires;3;9.0;7/12/2017;2000000;microempresarial
5806;masculino;comercio;fabrica de alimentos;las palmas;3;10.0;18/10/2018;2000000;microempresarial
5807;femenino;comercio;almacen de ropa en ;boston;3;10.0;15/08/2017;7370000;microempresarial
5808;femenino;comercio;comidas rapidas;manrique oriental;2;7.0;30/05/2018;7800000;microempresarial
5809;masculino;comercio;legumbreria;robledo;2;7.0;30/05/2017;7000000;microempresarial
5810;Femenino;comercio;comidas rapidas;alfonso lopez;1;5.0;30/11/2017;1000000;microempresarial
5811;femenino;industria;fabrica de ;Santander;1;6.0;26/05/2016;4000000;microempresarial
5812;femenino;industria;fabrica de ;cabecera san antonio ;2;80.0;8/11/2017;4000000;microempresarial
5813;femenino;industria;fabrica de ;pajarito;2;60.0;14/06/2017;7000000;microempresarial
5814;femenino;comercio;cerrajeria;;1;6.0;5/07/2018;4000000;microempresarial
5815;femenino;comercio;variedades;san javier no.1;3;13.0;2018/04/16;7800000;MICROEMPRESARIAL
5816;masculino;comercio;cerrajeria;VILLATINA;1;8.0;15/02/2018;3000000;microempresarial
5817;femenino;comercio;variedades;cabecera san cristobal;1;60.0;3/05/2018;7800000;microempresarial
5818;FEMENINO;COMERCIO;tienda;santa cruz;2;2.0;2016/09/16;3500000;microempresarial
5819;femenino;comercio;tienda;buenos aires;2;9.0;28/11/2018;7800000;microempresarial
5820;femenino;comercio;variedades;castilla;3;5.0;11/08/2017;$ 2,000,000.00;microempresarial
5821;femenino;comercio;comidas_rapidas;robledo;1;7.0;23/03/2018;7800000;microempresarial
5822;femenino;COMERCIO;miscelanea;olaya herrera;1;7.0;5/12/2017;1000000;microempresarial
5823;FEMENINO;comercio;variedades;aranjuez;3;4.0;11/03/2019;8281000;microempresarial
5824;masculino;comercio;comidas rapidas;buenos aires;02;9.0;14/09/2017;$ 73,000,000.00;microempresarial
5825;masculino;comercio;RESTAURANTE;manrique central no. 1;2;4.0;3/05/2017;7300000;microempresarial
5826;femenino;comercio;variedades;prado;3;10.0;18/04/2016;6890000;microempresarial
5827;masculino;comercio;variedades;enciso;1;8.0;2018/09/10;780;microempresarial
5828;femenino;industria;Fabrica De ;aranjuez;2;4.0;17/07/2017;3500000;microempresarial
5829;femenino;;almacen de ropa en ;manrique central no. 1;2;4.0;27/04/2018;4000000;MICROEMPRESARIAL
5830;femenino;industria;comidas rapidas;barrio cristobal;3;12.0;15/06/2016;4000000;microempresarial
5831;femenino;comercio;variedades;barrio caicedo;2;9.0;4/09/2017;7000000;microempresarial
5832;masculino;servicio;mantenimiento en ;tejelo;3;2.0;17/12/2018;6750000;microempresarial
5833;masculino;comercio;variedades;cabecera san cristobal;2;60.0;24/10/2018;7800000;microempresarial
5834;femenino;comercio;variedades;robledo;01;7.0;14/09/2018;2200000;microempresarial
5835;masculino;comercio;comidas rapidas;san javier no.1;1;13.0;21/02/2018;7800000;microempresarial
5836;femenino;comercio;almacen de ropa en ;santo domingo savio ;2;1.0;2018/03/8;3000000;microempresarial
5837;femenino;comercio;comidas rapidas;manrique central no. 1;2;4.0;13/03/2018;3000000;microempresarial
5838;femenino;industria;fabrica de ;santa cruz;2;2.0;8/07/2016;5000000;microempresarial
5839;masculino;comercio;tienda de helados;aranjuez;3;4.0;13/06/2016;5000000;microempresarial
5840;masculino;servicio;Taller De Electronica;robledo;2;7.0;26/07/2017;7000000;microempresarial
5841;Masculino;comercio;comidas rapidas;robledo;2;7.0;8/02/2018;5000000;microempresarial
5842;femenino;comercio;reciclaje;robledo;2;7.0;12/04/2018;7000000;microempresarial
5843;femenino;comercio;tienda;moravia;2;4.0;22/04/2019;8281000;microempresarial
5844;femenino;comercio;comidas rapidas;popular;2;1.0;22/06/2018;7800000;microempresarial
5845;femenino;comercio;miscelanea;santa cruz;2;2.0;30/09/2016;3000000;microempresarial
5846;femenino;comercio;variedades;san javier no.1;2;13.0;20/04/2018;5000000;microempresarial
5847;femenino;comercio;tienda de helados;manrique central no. 1;02;4.0;7/12/2016;6890000;Microempresarial
5848;masculino;servicio;recreativo-educativo;aranjuez;3;4.0;17/05/2017;7377000;microempresarial
5849;femenino;servicio;mantenimiento en ;robledo;2;7.0;2017/11/1;7377000;microempresarial
5850;femenino;Industria;fotografia;san javier no.1;3;13.0;17/03/2017;3500000;microempresarial
5851;masculino;comercio;reciclaje;centro admtivo;1;10.0;18/12/2018;4000000;microempresarial
5852;femenino;comercio;comidas rapidas;trinidad;3;15.0;22/11/2017;3000000;microempresarial
5853;FEMENINO;comercio;tienda;manrique central no. 1;3;4.0;22/12/2017;60;microempresarial
5854;masculino;comercio;Cafe E Internet;cordoba;3;7.0;2017/04/24;$ 2,000,000.00;Microempresarial
5855;femenino;comercio;peluqueria;campo valdes no. 1;3;4.0;13/02/2017;7377000;microempresarial
5856;masculino;comercio;fabrica de muebles;robledo;2;7.0;2018/03/1;7800000;microempresarial
5857;femenino;comercio;almacen de ropa en ;Cabecera San Antonio ;2;80.0;9/02/2017;7377000;microempresarial
5858;femenino;servicio;peluqueria;robledo;2;7.0;29/05/2018;6500000;MICROEMPRESARIAL
5859;femenino;comercio;legumbreria;buenos aires;03;9.0;3/10/2016;3000000;microempresarial
5860;masculino;industria;fabrica_de_;el_diamante;2;7.0;25/04/2019;8000000;microempresarial
5861;femenino;comercio;variedades;tricentenario;3;5.0;20/11/2017;4000000;microempresarial
5862;masculino;comercio;tienda;belen;3;16.0;25/07/2017;4900000;microempresarial
5863;femenino;comercio;variedades;manrique central no. 1;2;4.0;20/06/2017;7377000;microempresarial
5864;masculino;comercio;tienda;andalucia;2;2.0;24/05/2017;7300000;Microempresarial
5865;femenino;industria;fabrica-de-;cabecera san antonio ;1;80.0;2018/10/3;6000000;microempresarial
5866;femenino;servicio;peluqueria;manrique central no. 1;3;4.0;24/08/2017;$ 7,300,000.00;microempresarial
5867;masculino;industria;fabrica de ;guayabal;3;15.0;2017/10/24;7370000;microempresarial
5868;femenino;comercio;almacen de ropa en ;robledo;2;7.0;24/09/2018;7000000;microempresarial
5869;masculino;comercio;comidas rapidas;centro admtivo;2;10.0;13/02/2018;$ 7,800,000.00;microempresarial
5870;femenino;servicio;productos de belleza;santa lucia;2;12.0;15/09/2016;6000000;microempresarial
5871;femenino;comercio;legumbreria;robledo;01;7.0;6/04/2016;4000000;microempresarial
5872;Masculino;comercio;tienda;la milagrosa;3;9.0;11/05/2018;4000000;microempresarial
5873;femenino;comercio;almacen de ropa en ;juan xxiii la quiebra;2;13.0;7/02/2017;$ 7,300,000.00;Microempresarial
5874;femenino;comercio;peluqueria;castilla;2;5.0;13/02/2018;7000000;microempresarial
5875;femenino;comercio;productos de belleza;castilla;2;5.0;18/08/2017;5000000;microempresarial
5876;masculino;servicio;Barberia;miranda;2;4.0;18/10/2018;7000000;microempresarial
5877;femenino;comercio;venta de lacteos;doce de octubre no.1;2;6.0;11/11/2016;6300000;microempresarial
5878;femenino;comercio;fabrica de ;centro admtivo;3;10.0;21/06/2017;7377000;microempresarial
5879;femenino;servicio;recreativo-educativo;san jose de la cima no. ;1;3.0;30/01/2018;5000000;microempresarial
5880;femenino;servicio;jardineria;Manrique Central No. 1;2;4.0;14/11/2018;4000000;microempresarial
5881;masculino;servicio;taller de mecanica;Santo Domingo Savio ;1;1.0;14/03/2017;7370000;microempresarial
5882;femenino;servicio;restaurante;robledo;2;7.0;26/08/2016;6890000;microempresarial
5883;femenino;comercio;comidas rapidas;barrio caicedo;2;9.0;12/07/2017;7370000;microempresarial
5884;masculino;comercio;tienda;san javier no.1;1;13.0;26/05/2016;6000000;microempresarial
5885;femenino;comercio;variedades;robledo;2;7.0;2016/02/29;4000000;microempresarial
5886;femenino;comercio;tienda;toscana;3;5.0;13/03/2018;6000000;microempresarial
5887;masculino;servicio;tienda;doce de octubre no.1;2;6.0;16/08/2017;7370000;microempresarial
5888;femenino;servicio;cafe-e-internet;robledo;3;7.0;23/11/2016;5000000;MICROEMPRESARIAL
5889;femenino;comercio;cafe e internet;manrique central no. 1;1;4.0;7/11/2017;7000000;microempresarial
5890;femenino;industria;fabrica de calzado;popular;2;1.0;15/01/2019;6800000;microempresarial
5891;masculino;comercio;COMIDAS RAPIDAS;calasanz parte alta;2;12.0;24/07/2017;7370000;microempresarial
5892;femenino;industria;fabrica de ;manrique central no. 2;2;3.0;1/06/2016;3000000;microempresarial
5893;femenino;comercio;panaderia;robledo;3;7.0;16/02/2017;7000000;microempresarial
5894;masculino;COMERCIO;variedades;san javier no.1;2;13.0;22/09/2017;7300000;microempresarial
5895;femenino;industria;fabrica de ;san diego;2;10.0;26/03/2019;4000000;microempresarial
5896;masculino;comercio;tienda;manrique central no. 2;3;3.0;29/08/2017;7370000;microempresarial
